locMergedLongLatCarr.TICKET_FARE,locMergedLongLatCarr.Carrier_Frequency_Normalized,locMergedLongLatCarr.Destin_Normalized,locMergedLongLatCarr.Origin_Normalized,locMergedLongLatCarr.Base_Fare_Normalized,locMergedLongLatCarr.Month_Standardization,locMergedLongLatCarr.DAYS_Standardized,locMergedLongLatCarr.Seats_Normalized,locMergedLongLatCarr.DATE_OF_TRAVEL,locMergedLongLatCarr.DATE_OF_PRICEFALL,locMergedLongLatCarr.Carrier_Name,locMergedLongLatCarr.Origin_Loc_Name,locMergedLongLatCarr.Dest_Loc_Name,locMergedLongLatCarr.Origin_Lat,locMergedLongLatCarr.Origin_Long,locMergedLongLatCarr.Destination_Lat,locMergedLongLatCarr.Destination_Long,locMergedLongLatCarr.MONTH_OF_TRAVEL,DAY_OF_TRAVEL,locMergedLongLatCarr.MONTH_OF_PRICEFALL,DAY_OF_PRICEFALL
122.1412892,1.4575735,-0.938310063,-0.263176583,-0.166010889,-0.499862,0.415883,-0.217310622,1/28/2015,12/20/2014,Southwest Airlines,Chicago IL,Boston MA,41.785,-87.75194444,42.36361111,-71.00611111,1,28,12,20
60.78236631,2.572159985,-0.914665085,2.238404355,-0.858025853,0.000138,0.249216333,-0.360167764,2/23/2015,1/30/2015,Delta Airlines,Gulfport/Biloxi MS,Atlanta GA,30.40611111,-89.07027778,33.64083333,-84.42722222,2,23,1,30
202.8694889,1.4575735,-0.323540639,-0.205000282,0.931397989,0.500138,0.182549667,-0.267435935,3/21/2015,11/26/2014,Southwest Airlines,New Orleans LA,Las Vegas NV,29.99111111,-90.25138889,36.08,-115.1522222,3,21,11,26
82.74161335,1.4575735,-0.299895661,1.103966488,-0.411996836,0.000138,-0.284117,0.301486371,2/7/2015,1/14/2015,Southwest Airlines,Albany NY,Chicago IL,42.74583333,-73.80527778,41.785,-87.75194444,2,7,1,14
75.66640648,2.572159985,-0.914665085,0.056793072,-0.493276309,-0.499776,-0.488860533,-0.350142702,4/1/2015,1/22/2015,Delta Airlines,Milwaukee WI,Atlanta GA,42.95027778,-87.89722222,33.64083333,-84.42722222,4,1,1,22
189.7193401,0.790489189,-0.630925351,-0.932204043,0.758913702,0.000138,0.082549667,0.048353539,2/18/2015,10/16/2014,United Airlines,Houston TX,Newark NJ,29.98333333,-95.34,40.69583333,-74.17166667,2,18,10,16
59.94385522,2.572159985,-0.654570329,-0.05955953,-0.735846423,0.000138,0.149216333,0.251361058,2/20/2015,10/17/2014,Delta Airlines,Minneapolis MN,Detroit MI,44.88611111,-93.21777778,42.21666667,-83.34444444,2,20,10,17
137.024251,2.572159985,-0.96195504,-0.001383229,0.20282918,0.000138,-0.184117,0.436824717,2/10/2015,1/27/2015,Delta Airlines,New York NY,Fort Lauderdale FL,40.77944444,-73.87583333,26.07416667,-80.15166667,2,10,1,27
66.68386551,2.572159985,-0.914665085,0.289498276,-0.859280764,-0.499776,-0.388860533,0.381686872,4/4/2015,1/29/2015,Delta Airlines,Louisville KY,Atlanta GA,38.17972222,-85.73861111,33.64083333,-84.42722222,4,4,1,29
187.9337106,1.4575735,-0.630925351,-0.350441034,0.784477303,-0.499776,0.077806133,-0.487987313,4/18/2015,1/23/2015,Southwest Airlines,Houston TX,Newark NJ,29.645,-95.27861111,40.69583333,-74.17166667,4,18,1,23
108.1110191,2.572159985,-0.914665085,0.696732382,-0.245520249,-0.499776,-0.422193867,-0.272448466,4/3/2015,1/20/2015,Delta Airlines,Austin TX,Atlanta GA,30.19444444,-97.67,33.64083333,-84.42722222,4,3,1,20
165.4001549,1.4575735,-0.938310063,1.336671691,0.512695204,0.000138,0.349216333,0.376674341,2/26/2015,1/23/2015,Southwest Airlines,Kansas City MO,Boston MA,39.2975,-94.71388889,42.36361111,-71.00611111,2,26,1,23
193.4149053,0.790489189,-0.843730151,0.522203479,1.170374752,-0.499776,0.211139467,0.268904917,4/22/2015,4/19/2015,United Airlines,San Francisco CA,Houston TX,37.61888889,-122.375,29.98333333,-95.34,4,22,4,19
149.1469183,0.790489189,-0.843730151,-0.466793636,0.088522536,0.000138,0.049216333,0.183691885,2/17/2015,2/3/2015,United Airlines,Phoenix AZ,Houston TX,33.43611111,-112.0094444,29.98333333,-95.34,2,17,2,3
52.15647326,2.572159985,-0.914665085,3.86734078,-0.858025853,0.500138,-0.317450333,-0.445380797,3/6/2015,2/26/2015,Delta Airlines,Huntsville AL,Atlanta GA,34.64277778,-86.77555556,33.64083333,-84.42722222,3,6,2,26
67.2517861,-0.504041969,-0.228960728,2.616550311,-0.858025853,-0.499862,0.149216333,0.073416195,1/20/2015,11/21/2014,Alaska Airlines,Palm Springs CA,San Francisco CA,33.82666667,-116.505,37.61888889,-122.375,1,20,11,21
200.0372124,1.4575735,-0.299895661,-0.961292193,1.360634353,0.500138,0.049216333,-0.382724155,3/17/2015,2/13/2015,Southwest Airlines,Los Angeles CA,Chicago IL,33.9425,-118.4080556,41.785,-87.75194444,3,17,2,13
82.34709893,2.572159985,-0.654570329,0.725820532,-0.858025853,0.500138,-0.184117,0.176173088,3/10/2015,1/29/2015,Delta Airlines,Nashville TN,Detroit MI,36.12666667,-86.68194444,42.21666667,-83.34444444,3,10,1,29
93.12946524,0.790489189,-0.843730151,-0.205000282,-0.858025853,0.000138,-0.217450333,-0.259917138,2/9/2015,11/1/2014,United Airlines,New Orleans LA,Houston TX,29.99111111,-90.25138889,29.98333333,-95.34,2,9,11,1
102.7149535,1.4575735,-0.820085173,1.016702037,-0.166294495,0.500138,-0.484117,0.003240757,3/1/2015,2/5/2015,Southwest Airlines,Akron OH,Orlando FL,40.91388889,-81.44166667,28.43166667,-81.32472222,3,1,2,5
87.97627496,2.572159985,-0.630925351,-1.019468494,-0.363701876,-0.499862,0.449216333,-0.375205358,1/29/2015,11/15/2014,Delta Airlines,Atlanta GA,Newark NJ,33.64083333,-84.42722222,40.69583333,-74.17166667,1,29,11,15
237.9798465,0.035414231,-0.820085173,-0.292264733,1.854430525,-0.499862,0.349216333,0.489456296,1/26/2015,1/11/2015,American Airlines,Las Vegas NV,Orlando FL,36.08,-115.1522222,28.43166667,-81.32472222,1,26,1,11
52.38340936,2.572159985,-0.441765528,-0.874027742,-0.859280764,-0.499776,0.111139467,0.033315945,4/19/2015,3/28/2015,Delta Airlines,Minneapolis MN,St. Louis MO,44.88611111,-93.21777778,38.74722222,-90.36444444,4,19,3,28
241.8162488,0.790489189,-0.630925351,-0.466793636,2.016122795,0.500138,0.182549667,0.27892998,3/21/2015,12/4/2014,United Airlines,Phoenix AZ,Newark NJ,33.43611111,-112.0094444,40.69583333,-74.17166667,3,21,12,4
125.621806,2.572159985,-0.74915024,-0.146823981,0.159266718,0.000138,-0.184117,0.241335995,2/10/2015,1/19/2015,Delta Airlines,San Diego CA,Seattle WA,32.73277778,-117.1872222,47.44722222,-122.3055556,2,10,1,19
75.87767915,2.572159985,-0.772795218,-0.699498839,-0.858025853,0.500138,-0.450783667,-0.074453479,3/2/2015,10/31/2014,Delta Airlines,Detroit MI,Philadelphia PA,42.21666667,-83.34444444,39.86805556,-75.24861111,3,2,10,31
71.56473262,0.035414231,-0.678215307,0.434939028,-0.858025853,0.500138,-0.317450333,0.058378602,3/6/2015,11/1/2014,American Airlines,Washington DC,Washington DC,38.94166667,-77.4575,38.85166667,-77.03694444,3,6,11,1
184.3087089,1.4575735,-0.867375129,0.464027178,0.741691678,0.000138,0.082549667,0.384193138,2/18/2015,1/9/2015,Southwest Airlines,Houston TX,Los Angeles CA,29.645,-95.27861111,33.9425,-118.4080556,2,18,1,9
90.97299198,1.4575735,-0.891020107,2.267492505,-0.858025853,0.500138,-0.384117,-0.197260496,3/4/2015,11/20/2014,Southwest Airlines,Portland ME,Baltimore MD,43.64444444,-70.30361111,39.17555556,-76.67138889,3,4,11,20
336.6586164,0.790489189,-0.938310063,-0.175912131,2.996636706,-0.499862,0.249216333,0.351611684,1/23/2015,11/7/2014,United Airlines,San Francisco CA,Boston MA,37.61888889,-122.375,42.36361111,-71.00611111,1,23,11,7
170.1591897,2.572159985,-0.323540639,-0.05955953,0.587361653,0.500138,-0.417450333,0.093466321,3/3/2015,1/21/2015,Delta Airlines,Minneapolis MN,Las Vegas NV,44.88611111,-93.21777778,36.08,-115.1522222,3,3,1,21
65.59232662,1.4575735,-0.441765528,1.162142789,-0.850228,0.000138,-0.217450333,-0.457912125,2/9/2015,11/24/2014,Southwest Airlines,Oklahoma City OK,St. Louis MO,35.39222222,-97.60166667,38.74722222,-90.36444444,2,9,11,24
182.1522357,1.4575735,-0.867375129,0.464027178,0.741691678,0.000138,0.249216333,0.298980105,2/23/2015,12/11/2014,Southwest Airlines,Houston TX,Los Angeles CA,29.645,-95.27861111,33.9425,-118.4080556,2,23,12,11
167.6793063,1.4575735,-0.772795218,-0.350441034,0.653415568,-0.499776,0.011139467,0.449356045,4/16/2015,2/5/2015,Southwest Airlines,Houston TX,Philadelphia PA,29.645,-95.27861111,39.86805556,-75.24861111,4,16,2,5
